param,term,coefficient,transform
A,(intercept),-0.91496353792876,logit(A)
A,1,3.0962992901596e-16,logit(A)
A,x1^0 x2^0 x3^0 x4^1,0.166537159406462,logit(A)
A,x1^0 x2^0 x3^1 x4^0,-0.0796310012784444,logit(A)
A,x1^0 x2^1 x3^0 x4^0,-0.275543540974854,logit(A)
A,x1^1 x2^0 x3^0 x4^0,-0.451134301035354,logit(A)
A,x1^0 x2^0 x3^0 x4^2,-0.0398830450095295,logit(A)
A,x1^0 x2^0 x3^1 x4^1,-0.339504869377477,logit(A)
A,x1^0 x2^0 x3^2 x4^0,0.125210594484,logit(A)
A,x1^0 x2^1 x3^0 x4^1,0.0846963980579414,logit(A)
A,x1^0 x2^1 x3^1 x4^0,-0.0117396571684389,logit(A)
A,x1^0 x2^2 x3^0 x4^0,0.140071734075914,logit(A)
A,x1^1 x2^0 x3^0 x4^1,-0.118158875876714,logit(A)
A,x1^1 x2^0 x3^1 x4^0,0.0355468463413139,logit(A)
A,x1^1 x2^1 x3^0 x4^0,-0.194469029225525,logit(A)
A,x1^2 x2^0 x3^0 x4^0,0.110455989590417,logit(A)
A,x1^0 x2^0 x3^0 x4^3,-0.0429439697870636,logit(A)
A,x1^0 x2^0 x3^1 x4^2,0.235787840301979,logit(A)
A,x1^0 x2^0 x3^2 x4^1,0.173856714199278,logit(A)
A,x1^0 x2^0 x3^3 x4^0,-0.140123048957562,logit(A)
A,x1^0 x2^1 x3^0 x4^2,-0.078253142153179,logit(A)
A,x1^0 x2^1 x3^1 x4^1,-0.467055389206422,logit(A)
A,x1^0 x2^1 x3^2 x4^0,0.0593487911131826,logit(A)
A,x1^0 x2^2 x3^0 x4^1,-0.104548200364872,logit(A)
A,x1^0 x2^2 x3^1 x4^0,0.0112415243734602,logit(A)
A,x1^0 x2^3 x3^0 x4^0,-0.0635483608068618,logit(A)
A,x1^1 x2^0 x3^0 x4^2,0.0536507020104658,logit(A)
A,x1^1 x2^0 x3^1 x4^1,0.371262708177612,logit(A)
A,x1^1 x2^0 x3^2 x4^0,-0.048356279112747,logit(A)
A,x1^1 x2^1 x3^0 x4^1,0.00457036753944924,logit(A)
A,x1^1 x2^1 x3^1 x4^0,0.0166257927743399,logit(A)
A,x1^1 x2^2 x3^0 x4^0,0.044425146451314,logit(A)
A,x1^2 x2^0 x3^0 x4^1,0.055826445261029,logit(A)
A,x1^2 x2^0 x3^1 x4^0,-0.0169753680517026,logit(A)
A,x1^2 x2^1 x3^0 x4^0,0.0553707787612789,logit(A)
A,x1^3 x2^0 x3^0 x4^0,-0.0307416731119026,logit(A)
A,x1^0 x2^0 x3^0 x4^4,0.387410485495604,logit(A)
A,x1^0 x2^0 x3^1 x4^3,0.267989452159748,logit(A)
A,x1^0 x2^0 x3^2 x4^2,-1.09291646160601,logit(A)
A,x1^0 x2^0 x3^3 x4^1,1.33971001693265,logit(A)
A,x1^0 x2^0 x3^4 x4^0,-0.210676342361242,logit(A)
A,x1^0 x2^1 x3^0 x4^3,0.0883887145827492,logit(A)
A,x1^0 x2^1 x3^1 x4^2,0.286681200174209,logit(A)
A,x1^0 x2^1 x3^2 x4^1,1.83319569621122,logit(A)
A,x1^0 x2^1 x3^3 x4^0,-0.265411760766565,logit(A)
A,x1^0 x2^2 x3^0 x4^2,0.0751791623061522,logit(A)
A,x1^0 x2^2 x3^1 x4^1,0.46830072485534,logit(A)
A,x1^0 x2^2 x3^2 x4^0,-0.0564907261697619,logit(A)
A,x1^0 x2^3 x3^0 x4^1,0.0743281884637548,logit(A)
A,x1^0 x2^3 x3^1 x4^0,-0.00186139883711318,logit(A)
A,x1^0 x2^4 x3^0 x4^0,0.0280974484213957,logit(A)
A,x1^1 x2^0 x3^0 x4^3,-0.0173606324310116,logit(A)
A,x1^1 x2^0 x3^1 x4^2,-0.241770075210765,logit(A)
A,x1^1 x2^0 x3^2 x4^1,-0.893581047306334,logit(A)
A,x1^1 x2^0 x3^3 x4^0,0.0439612624099896,logit(A)
A,x1^1 x2^1 x3^0 x4^2,0.00530385976287993,logit(A)
A,x1^1 x2^1 x3^1 x4^1,0.0216681973513224,logit(A)
A,x1^1 x2^1 x3^2 x4^0,-0.0362027899939062,logit(A)
A,x1^1 x2^2 x3^0 x4^1,0.0182215186822618,logit(A)
A,x1^1 x2^2 x3^1 x4^0,-0.0165816448767179,logit(A)
A,x1^1 x2^3 x3^0 x4^0,-0.00819049990322501,logit(A)
A,x1^2 x2^0 x3^0 x4^2,-0.0286016342643796,logit(A)
A,x1^2 x2^0 x3^1 x4^1,-0.191968164967713,logit(A)
A,x1^2 x2^0 x3^2 x4^0,0.0211902359862564,logit(A)
A,x1^2 x2^1 x3^0 x4^1,-0.0103485356108514,logit(A)
A,x1^2 x2^1 x3^1 x4^0,-0.00757406249219603,logit(A)
A,x1^2 x2^2 x3^0 x4^0,-0.0257068025412097,logit(A)
A,x1^3 x2^0 x3^0 x4^1,-0.0228055673377639,logit(A)
A,x1^3 x2^0 x3^1 x4^0,0.00776518912959304,logit(A)
A,x1^3 x2^1 x3^0 x4^0,-0.01148282053638,logit(A)
A,x1^4 x2^0 x3^0 x4^0,0.0088826844074907,logit(A)
K,(intercept),262.340510316045,logit(K)
K,1,-1.2706064187746e-15,logit(K)
K,x1^0 x2^0 x3^0 x4^1,8.13832439365436,logit(K)
K,x1^0 x2^0 x3^1 x4^0,-5.93356951374841,logit(K)
K,x1^0 x2^1 x3^0 x4^0,48.0510946979297,logit(K)
K,x1^1 x2^0 x3^0 x4^0,49.6728645844733,logit(K)
K,x1^0 x2^0 x3^0 x4^2,-13.2763801933397,logit(K)
K,x1^0 x2^0 x3^1 x4^1,-17.8321732468479,logit(K)
K,x1^0 x2^0 x3^2 x4^0,2.6616260008644,logit(K)
K,x1^0 x2^1 x3^0 x4^1,-2.70762517223655,logit(K)
K,x1^0 x2^1 x3^1 x4^0,3.67069143155013,logit(K)
K,x1^0 x2^2 x3^0 x4^0,-21.2801534350869,logit(K)
K,x1^1 x2^0 x3^0 x4^1,-0.732269471247258,logit(K)
K,x1^1 x2^0 x3^1 x4^0,-1.358665109509,logit(K)
K,x1^1 x2^1 x3^0 x4^0,22.906053873023,logit(K)
K,x1^2 x2^0 x3^0 x4^0,-12.6758769677887,logit(K)
K,x1^0 x2^0 x3^0 x4^3,-14.1989347394641,logit(K)
K,x1^0 x2^0 x3^1 x4^2,34.0564426729343,logit(K)
K,x1^0 x2^0 x3^2 x4^1,20.5280549882812,logit(K)
K,x1^0 x2^0 x3^3 x4^0,1.24986833997304,logit(K)
K,x1^0 x2^1 x3^0 x4^2,1.87609363520179,logit(K)
K,x1^0 x2^1 x3^1 x4^1,3.29612730909168,logit(K)
K,x1^0 x2^1 x3^2 x4^0,-5.5216333060238,logit(K)
K,x1^0 x2^2 x3^0 x4^1,0.858350040261178,logit(K)
K,x1^0 x2^2 x3^1 x4^0,-0.282433541876709,logit(K)
K,x1^0 x2^3 x3^0 x4^0,9.27346180723598,logit(K)
K,x1^1 x2^0 x3^0 x4^2,4.14897901337097,logit(K)
K,x1^1 x2^0 x3^1 x4^1,-0.61288189924269,logit(K)
K,x1^1 x2^0 x3^2 x4^0,4.89287210579411,logit(K)
K,x1^1 x2^1 x3^0 x4^1,-0.00738989828366967,logit(K)
K,x1^1 x2^1 x3^1 x4^0,-2.08628454099168,logit(K)
K,x1^1 x2^2 x3^0 x4^0,-4.80689015187619,logit(K)
K,x1^2 x2^0 x3^0 x4^1,-0.283098188502468,logit(K)
K,x1^2 x2^0 x3^1 x4^0,1.70843046062375,logit(K)
K,x1^2 x2^1 x3^0 x4^0,-6.9294079386707,logit(K)
K,x1^3 x2^0 x3^0 x4^0,3.59177879680978,logit(K)
