param,term,coefficient,transform
A,(intercept),50.6638181550023,logit(A)
A,1,1.94847491839703e-16,logit(A)
A,x1^0 x2^0 x3^0 x4^1,0.186539852159856,logit(A)
A,x1^0 x2^0 x3^1 x4^0,-0.694577742224277,logit(A)
A,x1^0 x2^1 x3^0 x4^0,8.71531384034014,logit(A)
A,x1^1 x2^0 x3^0 x4^0,3.18213558193006,logit(A)
A,x1^0 x2^0 x3^0 x4^2,-0.126059147300744,logit(A)
A,x1^0 x2^0 x3^1 x4^1,0.675442798684262,logit(A)
A,x1^0 x2^0 x3^2 x4^0,2.38309968070359,logit(A)
A,x1^0 x2^1 x3^0 x4^1,-0.460544273368268,logit(A)
A,x1^0 x2^1 x3^1 x4^0,0.468905521768087,logit(A)
A,x1^0 x2^2 x3^0 x4^0,-2.35310793115485,logit(A)
A,x1^1 x2^0 x3^0 x4^1,0.467238729721845,logit(A)
A,x1^1 x2^0 x3^1 x4^0,-0.815807453779354,logit(A)
A,x1^1 x2^1 x3^0 x4^0,3.40038068151338,logit(A)
A,x1^2 x2^0 x3^0 x4^0,-2.40479600946184,logit(A)
A,x1^0 x2^0 x3^0 x4^3,0.00918721077385434,logit(A)
A,x1^0 x2^0 x3^1 x4^2,0.0796600629976077,logit(A)
A,x1^0 x2^0 x3^2 x4^1,-1.19076790904287,logit(A)
A,x1^0 x2^0 x3^3 x4^0,1.50709972750249,logit(A)
A,x1^0 x2^1 x3^0 x4^2,0.0643938844674152,logit(A)
A,x1^0 x2^1 x3^1 x4^1,-0.134269046941196,logit(A)
A,x1^0 x2^1 x3^2 x4^0,-1.25616324504743,logit(A)
A,x1^0 x2^2 x3^0 x4^1,0.309808389759619,logit(A)
A,x1^0 x2^2 x3^1 x4^0,-0.164180311323625,logit(A)
A,x1^0 x2^3 x3^0 x4^0,0.803537763436177,logit(A)
A,x1^1 x2^0 x3^0 x4^2,0.00380295032969169,logit(A)
A,x1^1 x2^0 x3^1 x4^1,-0.326832967267273,logit(A)
A,x1^1 x2^0 x3^2 x4^0,0.84153514710262,logit(A)
A,x1^1 x2^1 x3^0 x4^1,-0.152901713687925,logit(A)
A,x1^1 x2^1 x3^1 x4^0,-0.0749699268055182,logit(A)
A,x1^1 x2^2 x3^0 x4^0,-0.889395598731043,logit(A)
A,x1^2 x2^0 x3^0 x4^1,-0.228619629286971,logit(A)
A,x1^2 x2^0 x3^1 x4^0,0.695420042191299,logit(A)
A,x1^2 x2^1 x3^0 x4^0,-0.721775876090585,logit(A)
A,x1^3 x2^0 x3^0 x4^0,0.855698181620483,logit(A)
A,x1^0 x2^0 x3^0 x4^4,0.000364826816921595,logit(A)
A,x1^0 x2^0 x3^1 x4^3,-0.00846974473894643,logit(A)
A,x1^0 x2^0 x3^2 x4^2,-0.106257289468874,logit(A)
A,x1^0 x2^0 x3^3 x4^1,0.976379905653035,logit(A)
A,x1^0 x2^0 x3^4 x4^0,-20.4116380269228,logit(A)
A,x1^0 x2^1 x3^0 x4^3,-0.00375108431853188,logit(A)
A,x1^0 x2^1 x3^1 x4^2,-0.0409730634575687,logit(A)
A,x1^0 x2^1 x3^2 x4^1,0.320491040948839,logit(A)
A,x1^0 x2^1 x3^3 x4^0,-0.446912158308853,logit(A)
A,x1^0 x2^2 x3^0 x4^2,-0.0306839128900909,logit(A)
A,x1^0 x2^2 x3^1 x4^1,-0.0141063274957399,logit(A)
A,x1^0 x2^2 x3^2 x4^0,0.500004715896363,logit(A)
A,x1^0 x2^3 x3^0 x4^1,-0.154312292962136,logit(A)
A,x1^0 x2^3 x3^1 x4^0,0.0173818424409695,logit(A)
A,x1^0 x2^4 x3^0 x4^0,-0.297572612431528,logit(A)
A,x1^1 x2^0 x3^0 x4^3,-6.23721302691053e-06,logit(A)
A,x1^1 x2^0 x3^1 x4^2,-0.00176674813957466,logit(A)
A,x1^1 x2^0 x3^2 x4^1,0.420151889917652,logit(A)
A,x1^1 x2^0 x3^3 x4^0,-3.08052707198218,logit(A)
A,x1^1 x2^1 x3^0 x4^2,-0.00159680009455927,logit(A)
A,x1^1 x2^1 x3^1 x4^1,0.13828335413038,logit(A)
A,x1^1 x2^1 x3^2 x4^0,0.128441097953049,logit(A)
A,x1^1 x2^2 x3^0 x4^1,0.0396101474248755,logit(A)
A,x1^1 x2^2 x3^1 x4^0,0.168784636194851,logit(A)
A,x1^1 x2^3 x3^0 x4^0,0.233804960975137,logit(A)
A,x1^2 x2^0 x3^0 x4^2,0.00666870033286781,logit(A)
A,x1^2 x2^0 x3^1 x4^1,0.110314317554687,logit(A)
A,x1^2 x2^0 x3^2 x4^0,-0.883332225043865,logit(A)
A,x1^2 x2^1 x3^0 x4^1,0.102932215096042,logit(A)
A,x1^2 x2^1 x3^1 x4^0,-0.0668037080624857,logit(A)
A,x1^2 x2^2 x3^0 x4^0,0.413184589576002,logit(A)
A,x1^3 x2^0 x3^0 x4^1,0.0758339448588767,logit(A)
A,x1^3 x2^0 x3^1 x4^0,-0.374945986007316,logit(A)
A,x1^3 x2^1 x3^0 x4^0,0.0641137560436078,logit(A)
A,x1^4 x2^0 x3^0 x4^0,-0.273944707500458,logit(A)
K,(intercept),-2.64774794858831,logit(K)
K,1,-2.73311549787441e-17,logit(K)
K,x1^0 x2^0 x3^0 x4^1,-0.201013889048129,logit(K)
K,x1^0 x2^0 x3^1 x4^0,0.205934672479447,logit(K)
K,x1^0 x2^1 x3^0 x4^0,-0.225873542211468,logit(K)
K,x1^1 x2^0 x3^0 x4^0,-0.169943594180115,logit(K)
K,x1^0 x2^0 x3^0 x4^2,0.0100543955324142,logit(K)
K,x1^0 x2^0 x3^1 x4^1,0.0361835704115944,logit(K)
K,x1^0 x2^0 x3^2 x4^0,-0.192811671320257,logit(K)
K,x1^0 x2^1 x3^0 x4^1,0.0604002523028916,logit(K)
K,x1^0 x2^1 x3^1 x4^0,-0.0722889795041342,logit(K)
K,x1^0 x2^2 x3^0 x4^0,0.0865882495801239,logit(K)
K,x1^1 x2^0 x3^0 x4^1,0.0224413874781472,logit(K)
K,x1^1 x2^0 x3^1 x4^0,-0.0050567745975312,logit(K)
K,x1^1 x2^1 x3^0 x4^0,-0.0761081770957936,logit(K)
K,x1^2 x2^0 x3^0 x4^0,0.0344887168781683,logit(K)
K,x1^0 x2^0 x3^0 x4^3,-0.000570682918432298,logit(K)
K,x1^0 x2^0 x3^1 x4^2,-0.00280742742085708,logit(K)
K,x1^0 x2^0 x3^2 x4^1,-0.0503131121498558,logit(K)
K,x1^0 x2^0 x3^3 x4^0,0.49149737337392,logit(K)
K,x1^0 x2^1 x3^0 x4^2,-0.00255165898496166,logit(K)
K,x1^0 x2^1 x3^1 x4^1,-0.0052220104552815,logit(K)
K,x1^0 x2^1 x3^2 x4^0,0.0714464790245709,logit(K)
K,x1^0 x2^2 x3^0 x4^1,-0.0156849295240583,logit(K)
K,x1^0 x2^2 x3^1 x4^0,0.016672692599847,logit(K)
K,x1^0 x2^3 x3^0 x4^0,-0.0351555600637248,logit(K)
K,x1^1 x2^0 x3^0 x4^2,-0.000206777944512862,logit(K)
K,x1^1 x2^0 x3^1 x4^1,0.00548432007363153,logit(K)
K,x1^1 x2^0 x3^2 x4^0,-0.0477385829382943,logit(K)
K,x1^1 x2^1 x3^0 x4^1,-0.00152609020204119,logit(K)
K,x1^1 x2^1 x3^1 x4^0,0.00879616188961171,logit(K)
K,x1^1 x2^2 x3^0 x4^0,0.0144495241513594,logit(K)
K,x1^2 x2^0 x3^0 x4^1,0.00324133078052896,logit(K)
K,x1^2 x2^0 x3^1 x4^0,-0.0157190323559252,logit(K)
K,x1^2 x2^1 x3^0 x4^0,0.0268192591509537,logit(K)
K,x1^3 x2^0 x3^0 x4^0,-0.0086622044362061,logit(K)
K,x1^0 x2^0 x3^0 x4^4,2.80174036760989e-05,logit(K)
K,x1^0 x2^0 x3^1 x4^3,-0.000104233318685796,logit(K)
K,x1^0 x2^0 x3^2 x4^2,0.00528561014178608,logit(K)
K,x1^0 x2^0 x3^3 x4^1,0.0797594987263242,logit(K)
K,x1^0 x2^0 x3^4 x4^0,-1.55947594049635,logit(K)
K,x1^0 x2^1 x3^0 x4^3,7.84518801848031e-05,logit(K)
