param,term,coefficient,transform
A,(intercept),2197.90264148749,"logit(A)"
A,1,1.22799956724274e-14,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,-6.79357108352159,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,3839.01795858584,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,60.5529124538152,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,204.50289957199,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,-3.58516822091811,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,31.4615324655013,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,-6092.32904204906,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,2.7565725766818,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,-738.33536109619,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,4.8930163310932,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,2.1998523662595,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,-692.628587200888,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,-103.132294381433,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,8.0527230903913,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,-1.00963148045631,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,18.6672141588559,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,-182.787460256873,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,8795.78957752199,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,1.54461471619121,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,-13.2299490510466,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,355.335974304381,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,-1.11367263788378,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,-77.4412069241501,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,-6.64624872524205,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,1.06679172805472,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,-10.5618193777872,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,677.813770179658,"logit(A)"
A,x1^1 x2^1 x3^0 x4^1,-0.896309417734031,"logit(A)"
A,x1^1 x2^1 x3^1 x4^0,25.7990753729375,"logit(A)"
A,x1^1 x2^2 x3^0 x4^0,20.6011216220959,"logit(A)"
A,x1^2 x2^0 x3^0 x4^1,-0.709482917971622,"logit(A)"
A,x1^2 x2^0 x3^1 x4^0,65.0873947361774,"logit(A)"
A,x1^2 x2^1 x3^0 x4^0,18.4384955009866,"logit(A)"
A,x1^3 x2^0 x3^0 x4^0,-9.5044866375299,"logit(A)"
A,x1^0 x2^0 x3^0 x4^4,-0.1646720575365,"logit(A)"
A,x1^0 x2^0 x3^1 x4^3,4.84950344654175,"logit(A)"
A,x1^0 x2^0 x3^2 x4^2,-93.9126009330654,"logit(A)"
A,x1^0 x2^0 x3^3 x4^1,1220.76495146209,"logit(A)"
A,x1^0 x2^0 x3^4 x4^0,9512.24768785744,"logit(A)"
A,x1^0 x2^1 x3^0 x4^3,0.440963039942828,"logit(A)"
A,x1^0 x2^1 x3^1 x4^2,-8.01915605203105,"logit(A)"
A,x1^0 x2^1 x3^2 x4^1,79.8066023783816,"logit(A)"
A,x1^0 x2^1 x3^3 x4^0,3740.93311508354,"logit(A)"
A,x1^0 x2^2 x3^0 x4^2,-0.665396866927318,"logit(A)"
A,x1^0 x2^2 x3^1 x4^1,5.56033023098693,"logit(A)"
A,x1^0 x2^2 x3^2 x4^0,834.820920448775,"logit(A)"
A,x1^0 x2^3 x3^0 x4^1,0.447707329428436,"logit(A)"
A,x1^0 x2^3 x3^1 x4^0,196.997290352779,"logit(A)"
A,x1^0 x2^4 x3^0 x4^0,3.87010118462406,"logit(A)"
A,x1^1 x2^0 x3^0 x4^3,0.308671310567468,"logit(A)"
A,x1^1 x2^0 x3^1 x4^2,-5.5418763824515,"logit(A)"
A,x1^1 x2^0 x3^2 x4^1,62.0635619477761,"logit(A)"
A,x1^1 x2^0 x3^3 x4^0,1206.29748318003,"logit(A)"
A,x1^1 x2^1 x3^0 x4^2,-0.45956235593043,"logit(A)"
A,x1^1 x2^1 x3^1 x4^1,4.45355525703723,"logit(A)"
A,x1^1 x2^1 x3^2 x4^0,392.563574016459,"logit(A)"
A,x1^1 x2^2 x3^0 x4^1,0.363815077251907,"logit(A)"
A,x1^1 x2^2 x3^1 x4^0,105.446630947628,"logit(A)"
A,x1^1 x2^3 x3^0 x4^0,-4.40470433020356,"logit(A)"
A,x1^2 x2^0 x3^0 x4^2,-0.317326717307412,"logit(A)"
A,x1^2 x2^0 x3^1 x4^1,3.5123601193737,"logit(A)"
A,x1^2 x2^0 x3^2 x4^0,150.975287957041,"logit(A)"
A,x1^2 x2^1 x3^0 x4^1,0.290121904409611,"logit(A)"
A,x1^2 x2^1 x3^1 x4^0,52.5186744822807,"logit(A)"
A,x1^2 x2^2 x3^0 x4^0,-7.31216287482938,"logit(A)"
A,x1^3 x2^0 x3^0 x4^1,0.228004577745232,"logit(A)"
A,x1^3 x2^0 x3^1 x4^0,23.8456518435102,"logit(A)"
A,x1^3 x2^1 x3^0 x4^0,-1.65100041584431,"logit(A)"
A,x1^4 x2^0 x3^0 x4^0,3.94848956919529,"logit(A)"
K,(intercept),22.3843312025518,"logit(K)"
K,1,-4.95346947822319e-16,"logit(K)"
K,x1^0 x2^0 x3^0 x4^1,-0.187108688353568,"logit(K)"
K,x1^0 x2^0 x3^1 x4^0,32.5580267005101,"logit(K)"
K,x1^0 x2^1 x3^0 x4^0,-3.63573853397134,"logit(K)"
K,x1^1 x2^0 x3^0 x4^0,6.0285263716343,"logit(K)"
K,x1^0 x2^0 x3^0 x4^2,-0.0694377675896931,"logit(K)"
K,x1^0 x2^0 x3^1 x4^1,0.70962143469533,"logit(K)"
K,x1^0 x2^0 x3^2 x4^0,-55.2046973207061,"logit(K)"
K,x1^0 x2^1 x3^0 x4^1,0.089929792659934,"logit(K)"
K,x1^0 x2^1 x3^1 x4^0,-9.85609538071664,"logit(K)"
K,x1^0 x2^2 x3^0 x4^0,0.871896446759855,"logit(K)"
K,x1^1 x2^0 x3^0 x4^1,0.0571513029325058,"logit(K)"
K,x1^1 x2^0 x3^1 x4^0,-3.1640631013622,"logit(K)"
K,x1^1 x2^1 x3^0 x4^0,-1.1076655836937,"logit(K)"
K,x1^2 x2^0 x3^0 x4^0,-0.339970584793184,"logit(K)"
K,x1^0 x2^0 x3^0 x4^3,-0.0139242010310326,"logit(K)"
K,x1^0 x2^0 x3^1 x4^2,0.322889908238152,"logit(K)"
K,x1^0 x2^0 x3^2 x4^1,-2.86986306223553,"logit(K)"
K,x1^0 x2^0 x3^3 x4^0,98.564324261742,"logit(K)"
K,x1^0 x2^1 x3^0 x4^2,0.0291072347631408,"logit(K)"
K,x1^0 x2^1 x3^1 x4^1,-0.354222371787064,"logit(K)"
K,x1^0 x2^1 x3^2 x4^0,13.819777760782,"logit(K)"
K,x1^0 x2^2 x3^0 x4^1,-0.0428139775152947,"logit(K)"
K,x1^0 x2^2 x3^1 x4^0,2.40233477420434,"logit(K)"
K,x1^0 x2^3 x3^0 x4^0,-0.276510656675786,"logit(K)"
K,x1^1 x2^0 x3^0 x4^2,0.0208888400629466,"logit(K)"
K,x1^1 x2^0 x3^1 x4^1,-0.221823096236826,"logit(K)"
K,x1^1 x2^0 x3^2 x4^0,-0.0322900518963207,"logit(K)"
K,x1^1 x2^1 x3^0 x4^1,-0.0274419201772263,"logit(K)"
K,x1^1 x2^1 x3^1 x4^0,0.163961555295123,"logit(K)"
K,x1^1 x2^2 x3^0 x4^0,0.172641042623269,"logit(K)"
K,x1^2 x2^0 x3^0 x4^1,-0.0174567969866673,"logit(K)"
K,x1^2 x2^0 x3^1 x4^0,-1.08933822741092,"logit(K)"
K,x1^2 x2^1 x3^0 x4^0,0.28719890672523,"logit(K)"
K,x1^3 x2^0 x3^0 x4^0,-0.0470382193501495,"logit(K)"
K,x1^0 x2^0 x3^0 x4^4,-0.00169911134365216,"logit(K)"
K,x1^0 x2^0 x3^1 x4^3,0.0745098519509842,"logit(K)"
K,x1^0 x2^0 x3^2 x4^2,-1.45601320771978,"logit(K)"
K,x1^0 x2^0 x3^3 x4^1,13.1850485156156,"logit(K)"
K,x1^0 x2^0 x3^4 x4^0,-56.3424661282903,"logit(K)"
K,x1^0 x2^1 x3^0 x4^3,0.00616515984691878,"logit(K)"
K,x1^0 x2^1 x3^1 x4^2,-0.134852383895135,"logit(K)"
K,x1^0 x2^1 x3^2 x4^1,1.4875581774472,"logit(K)"
K,x1^0 x2^1 x3^3 x4^0,-9.96252481512304,"logit(K)"
K,x1^0 x2^2 x3^0 x4^2,-0.0121860063844553,"logit(K)"
K,x1^0 x2^2 x3^1 x4^1,0.173795232518727,"logit(K)"
K,x1^0 x2^2 x3^2 x4^0,-1.59299926197065,"logit(K)"
K,x1^0 x2^3 x3^0 x4^1,0.0202225877161798,"logit(K)"
K,x1^0 x2^3 x3^1 x4^0,-0.255110867652722,"logit(K)"
K,x1^0 x2^4 x3^0 x4^0,0.0979742679962187,"logit(K)"
K,x1^1 x2^0 x3^0 x4^3,0.0042447882553419,"logit(K)"
K,x1^1 x2^0 x3^1 x4^2,-0.0968551181290772,"logit(K)"
K,x1^1 x2^0 x3^2 x4^1,0.925407099905122,"logit(K)"
K,x1^1 x2^0 x3^3 x4^0,25.7874415474966,"logit(K)"
K,x1^1 x2^1 x3^0 x4^2,-0.00875428609567575,"logit(K)"
K,x1^1 x2^1 x3^1 x4^1,0.110254995116,"logit(K)"
K,x1^1 x2^1 x3^2 x4^0,2.98967435185551,"logit(K)"
K,x1^1 x2^2 x3^0 x4^1,0.0130541782634056,"logit(K)"
K,x1^1 x2^2 x3^1 x4^0,0.442948743530125,"logit(K)"
K,x1^1 x2^3 x3^0 x4^0,-0.0334389202282693,"logit(K)"
K,x1^2 x2^0 x3^0 x4^2,-0.00628360965024799,"logit(K)"
K,x1^2 x2^0 x3^1 x4^1,0.0692814897626002,"logit(K)"
K,x1^2 x2^0 x3^2 x4^0,5.11804438282901,"logit(K)"
