param,term,coefficient,transform
A,(intercept),1045.65059815238,"logit(A)"
A,1,1.52217028793263e-15,"logit(A)"
A,x1^0 x2^0 x3^0 x4^1,2.27908531744711,"logit(A)"
A,x1^0 x2^0 x3^1 x4^0,29.3069865644016,"logit(A)"
A,x1^0 x2^1 x3^0 x4^0,-751.860901165834,"logit(A)"
A,x1^1 x2^0 x3^0 x4^0,1052.32209253669,"logit(A)"
A,x1^0 x2^0 x3^0 x4^2,0.0472119932059546,"logit(A)"
A,x1^0 x2^0 x3^1 x4^1,-2.72734893287746,"logit(A)"
A,x1^0 x2^0 x3^2 x4^0,10.7250968818668,"logit(A)"
A,x1^0 x2^1 x3^0 x4^1,-0.844875362258609,"logit(A)"
A,x1^0 x2^1 x3^1 x4^0,102.342684577454,"logit(A)"
A,x1^0 x2^2 x3^0 x4^0,-157.660282636054,"logit(A)"
A,x1^1 x2^0 x3^0 x4^1,-0.19085516799477,"logit(A)"
A,x1^1 x2^0 x3^1 x4^0,-70.4792588661373,"logit(A)"
A,x1^1 x2^1 x3^0 x4^0,437.567871518653,"logit(A)"
A,x1^2 x2^0 x3^0 x4^0,-191.118350684537,"logit(A)"
A,x1^0 x2^0 x3^0 x4^3,0.43465043575908,"logit(A)"
A,x1^0 x2^0 x3^1 x4^2,-1.55719557413223,"logit(A)"
A,x1^0 x2^0 x3^2 x4^1,8.28892068731257,"logit(A)"
A,x1^0 x2^0 x3^3 x4^0,-79.7723116292544,"logit(A)"
A,x1^0 x2^1 x3^0 x4^2,-0.110037662259518,"logit(A)"
A,x1^0 x2^1 x3^1 x4^1,0.916300157978645,"logit(A)"
A,x1^0 x2^1 x3^2 x4^0,-235.412460728958,"logit(A)"
A,x1^0 x2^2 x3^0 x4^1,0.31612288797053,"logit(A)"
A,x1^0 x2^2 x3^1 x4^0,-44.4527810536838,"logit(A)"
A,x1^0 x2^3 x3^0 x4^0,138.342778005764,"logit(A)"
A,x1^1 x2^0 x3^0 x4^2,-0.0912420799239822,"logit(A)"
A,x1^1 x2^0 x3^1 x4^1,-1.68407709843299,"logit(A)"
A,x1^1 x2^0 x3^2 x4^0,128.885183498205,"logit(A)"
